PAVILHAO;CONCELHO
PAV MUN SAO JULIAO DA BARRA;OEIRAS
PAV MUN SUSANA BARROSO;SINTRA
PAV MUNICIPAL ALVALADE;LISBOA
PAV MUNICIPAL DE SAMPAIO;LISBOA
PAV MUNICIPAL SAMPAIO;LISBOA
PAV MUNICIPAL SUSANA BARROSO;SINTRA
PAV N2 - ESTADIO SLB;LISBOA
PAV Nº 2 - ESTADIO SLB;LISBOA
PAV Nº2 - ESTADIO SLB;LISBOA
PAV Nº2 - LUZ;LISBOA
PAV PISC SALA DESP GDS;LISBOA
PAV PISCINA SALA DESPORTOS GDS;LISBOA
PAV PROF TEOTONIO LIMA;LISBOA
PAV PROFESSOR TEOTONIO LIMA;LISBOA
PAV PROFTEOTONIO LIMA;LISBOA
PAV RAINHA Dª LEONOR;LISBOA
PAV SALESIANOS DE LISBOA;LISBOA
PAV SALESIANOS DO ESTORIL;CASCAIS
PAV SALESIANOS ESTORIL;CASCAIS
PAV SC TORRES;TORRES VEDRAS
PAV SOPHIA MELLO BREYNER;SINTRA
PAV SPORTING CLUBE TORRES;TORRES VEDRAS
PAV UNIVERSITARIO;LISBOA
RAINHA DªLEONOR-CALDAS RAINHA;CALDAS DA RAINHA
RAINHA DLEONOR - CALDAS RAINHA;CALDAS DA RAINHA
SALESIANOS DE LISBOA;LISBOA
SALESIANOS DO ESTORIL;CASCAIS
