Jogo;Dia;Hora;Prova;Série;Equipas;Pavilhão;1º Árbitro;2º Árbitro;juiz_linha;juiz_linha2
2512;21/05/2023;17:00;CNFINI;D;SPORTING_CP - CV_OEIRAS;MULTIDESPORTIVO SCP;GABRIELA RODRIGUES;;;
1932;21/05/2023;15:00;TAP INIC F;2ªFASE;AD_MARISTA A - LUSÓFONA_VC;EXT. MARISTAS DE LISBOA;GABRIELA SANTOS;;;
1994;21/05/2023;15:00;TAP INIC F;2ªFASE;CDM_CARCAVELOS - PLAYSPORTS;COL. MARISTAS DE CARCAVELOS;GONÇALO RAMOS;;;
1719;21/05/2023;17:00;TAP CAD F;2ªFASE;CDM_CARCAVELOS - GDS_CASCAIS;COL. MARISTAS DE CARCAVELOS;GONÇALO RAMOS;;;
1724;21/05/2023;15:00;TAP CAD F;2ªFASE;SALES_LISB - SC_TORRES;SALESIANOS DE LISBOA;HUGO CRUZ;;;
1456;21/05/2023;11:00;TAP JUV F;2ªFASE;ESM_TORRES - PIONEIROS_L;ESC. SEC. MADEIRA TORRES;INêS PEREIRA;;;
1858;21/05/2023;15:00;TAP INF F;2ªFASE;CN_GINÁSTICA B - FAMÕES_CA B;COMPLEXO CNG;ION ANDRUSENCO;;;
1809;21/05/2023;17:00;TAP INF F;2ªFASE;CN_GINÁSTICA A - SINTRA_V;COMPLEXO CNG;ION ANDRUSENCO;;;
2971;21/05/2023;12:00;JUV FEM;FF-AC;VENC.2966 - VENC.2967;PAV. DRAMÁTICO DE CASCAIS (5º/6ºCLAS);JORGE REIS;ANDRÉ CORREIA;MADALENA PAIS;
2629;21/05/2023;11:00;CNFINF;D;SL_BENFICA - CF_BELENENSES;PAV. MESQUITA DE LISBOA;LEONOR CRUZ;;;
2973;21/05/2023;18:00;JUV FEM;FF-AC;VENC.2968 - VENC.2969;PAV. DRAMÁTICO DE CASCAIS (1º/2ºCLAS);MARIA FERREIRA;SOFIA COSTA;MICHELLE FERREIRA;
1445;21/05/2023;15:00;TAP JUV F;2ªFASE;EF_LENCASTRE - GC_PORTUGUÊS;ESC. FILIPA LENCASTRE;MARIA JOÃO;;;
1820;21/05/2023;17:00;TAP INF F;2ªFASE;EF_LENCASTRE - AV_ATLÂNTICO;ESC. FILIPA LENCASTRE;MARIA JOÃO;;;
1842;21/05/2023;15:30;TAP INF F;2ªFASE;CP_ARRUPE - AD_MARISTA;COL. PEDRO ARRUPE;PAULO DUQUE;;;
1444;21/05/2023;18:00;TAP JUV F;2ªFASE;CP_ARRUPE - AM_NOGUEIRA;COL. PEDRO ARRUPE;PAULO DUQUE;;;
2693;21/05/2023;17:00;CNMINF;C;SL_BENFICA - CV_OEIRAS;EST. UNIVERSITÁRIO - PAV 1;PEDRO MATOS;;;
2491;21/05/2023;11:30;CNFINI;C;CF_BELENENSES - SL_BENFICA;PAV. ACÁCIO ROSA;SAMUEL PATRÃO;;;
2972;21/05/2023;15:00;JUV FEM;FF-AC;DER.2968 - DER.2969;PAV. DRAMÁTICO DE CASCAIS (3º/4ºCLAS);SOFIA COSTA;MARIA FERREIRA;MICHELLE FERREIRA;
1734;25/05/2023;20:00;TAP CAD F;2ªFASE;AV_ATLÂNTICO - ODIVELAS_SC;COL. ATLÂNTICO;LEA SILVESTRE;;;
2067;25/05/2023;21:15;TAP SENFIII;1/2F;ODIVELAS_SC - VC_Setubal;ESC. SEC. BRAAMCAAMP FREIRE;MARIA FERREIRA;;;
1832;26/05/2023;19:30;TAP INF F;2ªFASE;CSJ_BRITO B - CSJ_BRITO A;COL. SÃO JOÃO DE BRITO;RODRIGO ANDRADE;;;
2080;27/05/2023;16:00;TAP SENIIIM;1ª FASE;AV_PRAIA - VC_SETUBAL;PAV. MUN. JOÃO DOS SANTOS;ALEXANDRE RIBEIRO;;;
1834;27/05/2023;17:00;TAP INF F;2ªFASE;CDM_CARCAVELOS - CSJ_BRITO B;COL. MARISTAS DE CARCAVELOS;ANDRÉ CARVALHO;;;
1433;27/05/2023;15:00;TAP JUV F;2ªFASE;GDS_CASCAIS - GD_SESIMBRA;PAV. GUILHERME PINTO BASTO;ANDRÉ CORREIA;;;
1449;27/05/2023;15:00;TAP JUV F;2ªFASE;AM_NOGUEIRA - AV_PRAIA;ESC. SEC. DANIEL SAMPAIO;CATARINA RODRIGUES;;;
2079;27/05/2023;19:15;TAP SENIIIM;1ª FASE;FAMÕES_CA - VC_SETUBAL;PAV. MUN. SUSANA BARROSO;DANIEL FERNANDES;;;
1370;27/05/2023;15:00;TAP JUNIOR;2ªFASE;SC_TORRES - AM_NOGUEIRA;PAV. SC TORRES;DANIEL FONSECA;;;
1966;27/05/2023;17:00;TAP INIC F;2ªFASE;AD_MARISTA B - LOBATOS_V B;EXT. MARISTAS DE LISBOA;GABRIEL RIBEIRO;;;
2636;27/05/2023;10:00;CNFINF;D;SLB - SCP;PAV. Nº2 - ESTÁDIO SLB;HUGO CRUZ;;;
1434;27/05/2023;11:30;TAP JUV F;2ªFASE;CF_BELENENSES - AD_MARISTA A;PAV. ACÁCIO ROSA;MARIA FERREIRA;;;
1965;27/05/2023;10:00;TAP INIC F;2ªFASE;EF_LENCASTRE A - VC_SETUBAL;ESC. FILIPA LENCASTRE;MARIANA CASTRO;;;
1996;27/05/2023;15:00;TAP INIC F;2ªFASE;ODIVELAS_SC B - RCS;ESC. SEC. BRAAMCAAMP FREIRE;MARTA PAULA;;;
1822;27/05/2023;15:00;TAP INF F;2ªFASE;VOLLEY_4A - EF_LENCASTRE;ESC. SEC. CASCAIS;MICHELLE FERREIRA;;;
1377;27/05/2023;19:00;TAP JUNIOR;2ªFASE;FAMÕES_CA B - CV_LISBOA;ESC. SEC. BRAAMCAAMP FREIRE;PAULO DUQUE;;;
