Jogo;Dia;Hora;Prova;Série;Equipas;Pavilhão;1º Árbitro;2º Árbitro;juiz_linha;juiz_linha2
2063;13/05/2023;17:00;TAP SENIIIF;1ª FASE;AM_NOGUEIRA - GDS_CASCAIS;ESC. SEC. DANIEL SAMPAIO;CATARINA RODRIGUES;;;
2075;13/05/2023;12:00;TAP SENIIIM;1ª FASE;GD_SESIMBRA - FAMÕES_CA;PAV. MUNICIPAL DE SAMPAIO;DANIEL FERNANDES;;;
2197;13/05/2023;15:00;CNMCAD;D;AV_ATÂNTICO - SC_TORRES;COL. ATLÂNTICO;GONÇALO MONTEIRO;;;
1733;13/05/2023;17:00;TAP CAD F;2ªFASE;ODIVELAS_SC - AM_NOGUEIRA;ESC. SEC. BRAAMCAAMP FREIRE;ION ANDRUSENCO;;;
1450;13/05/2023;19:00;TAP JUV F;;FAMÕES_CA - ODIVELAS_SC;ESC. SEC. BRAAMCAAMP FREIRE;ION ANDRUSENCO;;;
1819;13/05/2023;15:00;TAP INF F;2ªFASE;VOLLEY_4A - CD_ALVERCA_V A;ESC. SEC. CASCAIS;JORGE REIS;;;
1959;13/05/2023;10:00;TAP INIC F;2ªFASE;EF_LENCASTRE A - ODIVELAS_SC A;ESC. FILIPA LENCASTRE;MADALENA PAIS;;;
2179;13/05/2023;17:00;CNMCAD;C;VC_SETÚBAL - LOUSÃ_VC;PAV. MUN. ARANGUÊS;PAULO DUQUE;;;
1929;13/05/2023;19:30;TAP INIC F;2ªFASE;LUSÓFONA_VC - CSJ_BRITO;PAV. PROF. TEOTÓNIO LIMA;PEDRO MATOS;;;
1990;13/05/2023;15:00;TAP INIC F;2ªFASE;ODIVELAS_SC B - PLAYSPORTS;ESC. SEC. BRAAMCAAMP FREIRE;PEDRO MOUTA;;;
2384;13/05/2023;15:00;CNMINI;C;CN_GINÁSTICA - CV_OEIRAS;COMPLEXO CNG;RODRIGO ANDRADE;;;
1442;13/05/2023;15:00;TAP JUV F;2ªFASE;AV_PRAIA - EF_LENCASTRE;PAV. MUN. JOÃO DOS SANTOS;RUI CASTANHEIRA;;;
2809;13/05/2023;15:00;CNMJUNB1;SU;SL_BENFICA - AMARES;ESC. JOSÉ CARDOSO PIRES;SAMUEL PATRÃO;;;
1946;13/05/2023;16:00;TAP INIC F;2ªFASE;CD_ALVERCA V - TC_ALCOCHETE;ESC. SEC. GAGO COUTINHO;SANDRA BENTES;;;
2116;14/05/2023;16:00;NSFII;SU;CF_BELENENSES - CR_PIEDENSE;PAV. ACÁCIO ROSA - RESTELO;ALEXANDRE RIBEIRO;DANIEL FERNANDES;;
1427;14/05/2023;14:00;TAP JUV F;2ªFASE;AD_MARISTA A - CR_PIEDENSE;EXT. MARISTAS DE LISBOA;ANDRÉ CARVALHO;;;
1931;14/05/2023;16:00;TAP INIC F;2ªFASE;AD_MARISTA A - LOBATOS_V A;EXT. MARISTAS DE LISBOA;ANDRÉ CARVALHO;;;
2064;14/05/2023;15:00;TAP SENIIIF;1ª FASE;VC_SETUBAL - FAMÕES_CA ;PAV. MUN. ARANGUÊS;CARLOS SILVA;;;
2076;14/05/2023;17:00;TAP SENIIIM;1ª FASE;VC_SETÚBAL - AV_PRAIA;PAV. MUN. ARANGUÊS;CARLOS SILVA;;;
1436;14/05/2023;15:00;TAP JUV F;2ªFASE;EF_LENCASTRE - AM_NOGUEIRA;ESC. FILIPA LENCASTRE;CARLOTA BRAGA;;;
2180;14/05/2023;17:00;CNMCAD;C;SPORTING_CP - SL_BENFICA;MULTIDESPORTIVO SCP;CAROLINA TAVARES;;;
1945;14/05/2023;19:00;TAP INIC F;2ªFASE;SPORTING_CP - CP_ARRUPE;MULTIDESPORTIVO SCP;CAROLINA TAVARES;;;
1930;14/05/2023;15:00;TAP INIC F;2ªFASE;SALES_LISB - ESTORIL_P;SALESIANOS DE LISBOA;CATARINA PEREIRA;;;
2058;14/05/2023;17:00;TAP SENIIIF;1ª FASE;SALES_LISB - EF_LENCASTRE;SALESIANOS DE LISBOA;CATARINA PEREIRA;;;
1808;14/05/2023;11:00;TAP INF F;2ªFASE;CR_PIEDENSE - GD_SESIMBRA;PAV. CR PIEDENSE;CATARINA RODRIGUES;;;
2631;14/05/2023;14:00;CNFINF;D;CF_BELENENSES - SPORTING_CP;PAV. ACÁCIO ROSA - RESTELO;DANIEL FERNANDES;;;
2316;14/05/2023;15:00;CNFCAD;D;AV_ATLÂNTICO - AC_ALBUFEIRA;COL. ATLÂNTICO;DIOGO SILVA;;;
1818;14/05/2023;17:00;TAP INF F;2ªFASE;AV_ATLÂNTICO - LOBATOS_V;COL. ATLÂNTICO;DIOGO SILVA;;;
1841;14/05/2023;11:00;TAP INF F;2ªFASE;CP_ARRUPE - GDS_CASCAIS;COL. PEDRO ARRUPE;ION ANDRUSENCO;;;
2611;14/05/2023;15:00;CNFINF;C;CP_ARRUPE - LUSÓFONA_VC;COL. PEDRO ARRUPE;ION ANDRUSENCO;;;
2117;14/05/2023;16:00;NSFII;SU;CN_GINÁSTICA - ALA_GONDOMAR;COMPLEXO CNG;MICHELLE FERREIRA;ANDRÉ CORREIA;;
2286;14/05/2023;15:00;CNFCAD;C;MTBA - VIV_ALMA;PAV. MTBA;PAULO DUQUE;;;
1960;14/05/2023;10:00;TAP INIC F;2ªFASE;AD_MARISTA B - GDS_CASCAIS;EXT. MARISTAS DE LISBOA;PEDRO MATOS;;;
2612;14/05/2023;12:00;CNFINF;C;AD_MARISTA - MADEIRA_T;EXT. MARISTAS DE LISBOA;PEDRO MATOS;;;
1855;14/05/2023;11:30;TAP INF F;2ªFASE;FAMÕES_CA B - GRC_BOM RETIRO;ESC. SEC. BRAAMCAAMP FREIRE;PEDRO MOUTA;;;
1944;14/05/2023;15:00;TAP INIC F;2ªFASE;FAMÕES_CA A - AV_PRAIA;ESC. SEC. BRAAMCAAMP FREIRE;PEDRO MOUTA;;;
2288;14/05/2023;15:00;CNFCAD;C;CSJ_BRITO - CV_OEIRAS;COL. SÃO JOÃO DE BRITO;RICARDO MADEIRA;;;
2490;14/05/2023;17:00;CNFINI;C;CSJ_BRITO - SL_BENFICA;COL. SÃO JOÃO DE BRITO;RICARDO MADEIRA;;;
2385;14/05/2023;12:00;CNMINI;C;SPORTING_CP - SC_CALDAS;MULTIDESPORTIVO SCP;RODRIGO ANDRADE;;;
2318;14/05/2023;15:00;CNFCAD;D;SPORTING_CP - CF_BELENENSES;MULTIDESPORTIVO SCP;RODRIGO ANDRADE;;;
1716;14/05/2023;16:00;TAP CAD F;2ªFASE;CDM_CARCAVELOS - CN_GINÁSTICA;COL. MARISTAS DE CARCAVELOS;RUI CASTANHEIRA;;;
1828;14/05/2023;18:00;TAP INF F;2ªFASE;CDM_CARCAVELOS - FAMÕES_CA A;COL. MARISTAS DE CARCAVELOS;RUI CASTANHEIRA;;;
2057;14/05/2023;16:00;TAP SENIIIF;1ª FASE;CV_LISBOA - ODIVELAS_SC;ESC. SOPHIA MELLO BREYNER;SAMUEL PATRÃO;;;
1933;15/05/2023;18:00;TAP INIC F;2ªFASE;CSJ_BRITO - SALES_LISB;COL. SÃO JOÃO DE BRITO;RODRIGO ANDRADE;;;
2059;18/05/2023;21:15;TAP SENIIIF;1ª FASE;ODIVELAS_SC - EF_LENCASTRE;ESC. SEC. BRAAMCAAMP FREIRE;DANIEL FERNANDES;;;
1928;19/05/2023;20:15;TAP INIC F;2ªFASE;CSJB - ADM A;COL. SÃO JOÃO DE BRITO;ANDRÉ CARVALHO;;;
