Jogo;Dia;Hora;Prova;Série;Equipas;Pavilhão;1º Árbitro;2º Árbitro;juiz_linha;juiz_linha2
1069;05/02/2023;11:00;CRFCAD;2ªF - C;CDMC - EFL;COL MARISTAS DE CARCAVELOS;LEONOR CRUZ;;;
836;04/02/2023;11:00;CRFINF;2ªF - C;CDMC - CVO;COL MARISTAS DE CARCAVELOS;MADALENA PAIS;;;
995;05/02/2023;15:00;CRFINI;2ªF - D;EP B - VCS;COL AMOR DE DEUS;MADALENA PAIS;;;
1024;05/02/2023;17:00;CRFINI;2ªF - E;EP A - SL;COL AMOR DE DEUS;MADALENA PAIS;;;
991;04/02/2023;15:00;CRFINI;2ªF - D;CRP - VCS;PAV CR PIEDENSE;MARGARIDA FORMIGA;;;
1224;04/02/2023;17:00;CNJBF;2ªF - SU;CR_PIEDENSE - SPORTING_CP;PAV CR PIEDENSE;MARGARIDA FORMIGA;;;
1020;04/02/2023;15:00;CRFINI;2ªF - E;SL - LV;SALESIANOS DE LISBOA;MARIA FERREIRA;;;
1429;04/02/2023;17:00;NSFIII;PS;CSALES - AC_ALBU;SALESIANOS DE LISBOA;MARIA FERREIRA;;;
797;05/02/2023;17:00;CRFINF;2ªF - A;LVC A - SLB;PAV PROFESSOR TEOTÓNIO LIMA;MARIA FERREIRA;;;
1110;05/02/2023;16:00;CRFJUV;2ªF - B;SLB - AMN;Esc General Humberto Delgado;MARIANA GONÇALVES;;;
903;05/02/2023;18:00;CRFINI;2ªF - A;SLB - CFB A;Esc General Humberto Delgado;MARIANA GONÇALVES;;;
827;05/02/2023;11:00;CRFINF;2ªF - B;GDSC - ADM;PAV GUILHERME PINTO BASTO;MARIANA TIMÓTEO;;;
962;04/02/2023;15:00;CRFINI;2ªF - C;FCA - CFB B;ESC SEC BRAAMCAMP FREIRE;MARTA RALHA;;;
241;04/02/2023;17:00;CRMJun;ÚNICA;ODIVELAS_SC - CV_OEIRAS;ESC SEC BRAAMCAMP FREIRE;MARTA RALHA;;;
1033;04/02/2023;16:00;NSMI;A2;SCALDAS - VIAN VC;RAINHA DªLEONOR-CALDAS RAINHA;MICHELLE FERREIRA;SERGIO PEREIRA;;
