Jogo;Dia;Hora;Prova;SÉrie;Equipas;Pavilhão;1º Árbitro;2º Árbitro;JL;JL2
514;30/10/2022;16:00;CNJB1M;ÚNICA;CV_OEIRAS - ALA_GOND;PAV. MUN. SÃO JULIÃO DA BARRA;HUGO CRUZ;;;
598;30/10/2022;15:00;CRJUVF;B;ODIVELAS_SC - SINTRA_VOLEI;ESC. SEC. BRAAMCAMP FREIRE;ION ANDRUSENCO;;;
128;30/10/2022;17:00;CRJUVM;ÚNICA;ODIVELAS_SC - AM_NOGUEIRA;ESC. SEC. BRAAMCAMP FREIRE;ION ANDRUSENCO;;;
777;30/10/2022;11:00;CNJNBF;B;CR_PIEDENSE - AV_ATLÂNTICO;PAV. CR PIEDENSE;JORGE REIS;;;
405;30/10/2022;15:00;NSFII;A;CR_PIEDENSE - AASM;PAV. CR PIEDENSE;JORGE REIS;SOFIA COSTA;;
489;30/10/2022;14:00;CRCADF;A;CN_GINÁSTICA - SALES_LISB;COMPLEXO CNG;MARIA FERREIRA;;;
403;30/10/2022;16:00;NSFII;A;CNG - GDC_GUEIFAES;COMPLEXO CNG;MARIA FERREIRA;SERGIO PEREIRA;;
778;30/10/2022;15:00;CNJNBF;B;AD_MARISTA - CF_BELENENSES;PAV. EXTERNATO MARISTAS LISBOA;NICOLE SOUSA;;;
127;30/10/2022;19:00;NSFI;A;SL_BENFICA - SPORT_CP;PAV. Nº2 - LUZ;PEDRO PINTO;JOSE CARAMEZ;Nicole Sousa;Gabriela Rodrigues;
1268;30/10/2022;17:00;CRSFIII;B;GDS_CASCAIS - VC_SETUBAL;PAV. GUILHERME PINTO BASTO - GDSC;SAMUEL PATRÃO;;;
698;30/10/2022;18:00;CRJUNF;B;CN_GINÁSTICA - SL_BENFICA;COMPLEXO CNG;SÉRGIO PEREIRA;;;
651;30/10/2022;17:00;CRJUVF;D;CR_PIEDENSE - AVP;PAV. CR PIEDENSE;SOFIA COSTA;;;
750;05/11/2022;14:00;CNJNBF;A;SPORTING_CP - CSJ_BRITO;PAV. JOÃO ROCHA;ALEXANDRE RIBEIRO;;;
601;05/11/2022;11:00;CRJUVF;B;SPORTING_CP - ODIVELAS_SC;PAV. MULTIDESPORTIVO SCP;ANDRÉ CARVALHO;;;
722;05/11/2022;15:00;CRJUNF;C;SPORTING_CP - CD_ALVERCA V;PAV. MULTIDESPORTIVO SCP;ANDRÉ CARVALHO;;;
199;05/11/2022;15:00;CRJUNM;ÚNICA;HENR_NOG_VOL - CV_LISBOA;PAV. ESC. SÃO GONÇALO;ANDRÉ CORREIA;;;
1219;05/11/2022;19:00;CRSMIII;ÚNICA;FAMOES_CA - ACAD_VP;Pav. Mun. Susana Barroso;ANDRÉ CORREIA;;;
129;05/11/2022;15:00;CRJUVM;ÚNICA;AM_NOGUEIRA - SC_CALDAS;ESC. SEC. DANIEL SAMPAIO;CARLOS SILVA;;;
1270;05/11/2022;17:00;CRSFIII;B;AM_NOGUEIRA - GDS_CASCAIS;ESC. SEC. DANIEL SAMPAIO;CARLOS SILVA;;;
71;05/11/2022;15:00;CRCADM;ÚNICA;VC_SETÚBAL - SL_BENFICA;PAV. MUN. ARANGUEZ;CATARINA RODRIGUES;;;
198;05/11/2022;17:00;CRJUNM;ÚNICA;VC_SETUBAL - SPORTING_CP;PAV. MUN. ARANGUEZ;CATARINA RODRIGUES;;;
654;05/11/2022;13:00;CRJUVF;D;AM_NOGUEIRA - CR_PIEDENSE;ESC. SEC. DANIEL SAMPAIO;CLARA OLARU;;;
1244;05/11/2022;15:00;CRSFIII;A;CV_LISBOA - CP_ARRUPE;EB Sophia Mello Breyner;DANIEL FERNANDES;;;
653;05/11/2022;17:00;CRJUVF;D;CSJ_BRITO - GD_SESIMBRA;PAV. COL. SÃO JOÃO BRITO;DIOGO SILVA;;;
701;05/11/2022;19:00;CRJUNF;B;CSJ_BRITO - CN_GINÁSTICA;PAV. COL. SÃO JOÃO BRITO;DIOGO SILVA;;;
430;05/11/2022;15:00;CRINICF;D;LOBATOS_V - TC_ALCOCHETE;ESC. PEDRO EANES LOBATO;GABRIELA RODRIGUES;;;
552;05/11/2022;17:00;CRCADF;D;LOBATOS_V - MTBA;ESC. PEDRO EANES LOBATO;GABRIELA RODRIGUES;;;
751;05/11/2022;15:00;CNJNBF;A;CN_GINÁSTICA - SO_MARINHENSE;COMPLEXO CNG;GONÇALO MONTEIRO;;;
531;05/11/2022;09:00;CRCADF;C;CV_OEIRAS - ODIVELAS_SC;PAV. MUN. SÃO JULIÃO DA BARRA;GONÇALO RAMOS;;;
623;05/11/2022;11:00;CRJUVF;C;CV_OEIRAS - SALES_ESTORIL;PAV. MUN. SÃO JULIÃO DA BARRA;GONÇALO RAMOS;;;
780;05/11/2022;11:00;CNJNBF;B;CF_BELENENSES - GINÁSIO_CP;ESC. JOÃO GONÇALVES ZARCO - ALGÉS;HUGO CRUZ;;;
754;05/11/2022;18:00;CRJUNF;D;CF_BELENENSES - EF_LENCASTRE;PAV. ACÁCIO ROSA;INÊS PEREIRA;;;
624;05/11/2022;17:00;CRJUVF;C;GDS_CASCAIS - EF_LENCASTRE;PAV. GUILHERME PINTO BASTO;ION ANDRUSENCO;;;
200;05/11/2022;15:00;CRJUNM;ÚNICA;CV_OEIRAS - GDR_BOM RETIRO;PAV. MUN. SÃO JULIÃO DA BARRA;JORGE REIS;;;
1243;05/11/2022;17:00;CRSFIII;A;CV_OEIRAS - ODIVELAS_SC;PAV. MUN. SÃO JULIÃO DA BARRA;JORGE REIS;;;
